X	Y
-1.000000	1.279415
-0.990000	1.237790
-0.980000	1.209734
-0.970000	1.193458
-0.960000	1.187292
-0.950000	1.189684
-0.940000	1.199195
-0.930000	1.214493
-0.920000	1.234350
-0.910000	1.257636
-0.900000	1.283317
-0.890000	1.310447
-0.880000	1.338167
-0.870000	1.365701
-0.860000	1.392350
-0.850000	1.417488
-0.840000	1.440563
-0.830000	1.461086
-0.820000	1.478635
-0.810000	1.492843
-0.800000	1.503406
-0.790000	1.510067
-0.780000	1.512623
-0.770000	1.510917
-0.760000	1.504836
-0.750000	1.494308
-0.740000	1.479301
-0.730000	1.459818
-0.720000	1.435893
-0.710000	1.407593
-0.700000	1.375013
-0.690000	1.338273
-0.680000	1.297518
-0.670000	1.252912
-0.660000	1.204641
-0.650000	1.152906
-0.640000	1.097923
-0.630000	1.039925
-0.620000	0.979152
-0.610000	0.915857
-0.600000	0.850299
-0.590000	0.782746
-0.580000	0.713469
-0.570000	0.642743
-0.560000	0.570846
-0.550000	0.498058
-0.540000	0.424655
-0.530000	0.350916
-0.520000	0.277114
-0.510000	0.203521
-0.500000	0.130402
-0.490000	0.058018
-0.480000	-0.013376
-0.470000	-0.083535
-0.460000	-0.152218
-0.450000	-0.219196
-0.440000	-0.284247
-0.430000	-0.347161
-0.420000	-0.407736
-0.410000	-0.465783
-0.400000	-0.521124
-0.390000	-0.573591
-0.380000	-0.623031
-0.370000	-0.669300
-0.360000	-0.712271
-0.350000	-0.751825
-0.340000	-0.787860
-0.330000	-0.820284
-0.320000	-0.849021
-0.310000	-0.874006
-0.300000	-0.895189
-0.290000	-0.912531
-0.280000	-0.926009
-0.270000	-0.935610
-0.260000	-0.941337
-0.250000	-0.943203
-0.240000	-0.941235
-0.230000	-0.935472
-0.220000	-0.925965
-0.210000	-0.912777
-0.200000	-0.895981
-0.190000	-0.875663
-0.180000	-0.851919
-0.170000	-0.824855
-0.160000	-0.794586
-0.150000	-0.761239
-0.140000	-0.724948
-0.130000	-0.685856
-0.120000	-0.644113
-0.110000	-0.599880
-0.100000	-0.553321
-0.090000	-0.504608
-0.080000	-0.453920
-0.070000	-0.401439
-0.060000	-0.347355
-0.050000	-0.291860
-0.040000	-0.235149
-0.030000	-0.177422
-0.020000	-0.118880
-0.010000	-0.059727
0.000000	-0.000168
0.010000	0.059592
0.020000	0.119349
0.030000	0.178897
0.040000	0.238032
0.050000	0.296554
0.060000	0.354263
0.070000	0.410963
0.080000	0.466462
0.090000	0.520570
0.100000	0.573105
0.110000	0.623888
0.120000	0.672747
0.130000	0.719516
0.140000	0.764038
0.150000	0.806159
0.160000	0.845737
0.170000	0.882638
0.180000	0.916736
0.190000	0.947914
0.200000	0.976066
0.210000	1.001096
0.220000	1.022919
0.230000	1.041460
0.240000	1.056657
0.250000	1.068458
0.260000	1.076825
0.270000	1.081729
0.280000	1.083158
0.290000	1.081108
0.300000	1.075592
0.310000	1.066634
0.320000	1.054271
0.330000	1.038554
0.340000	1.019546
0.350000	0.997325
0.360000	0.971981
0.370000	0.943618
0.380000	0.912351
0.390000	0.878311
0.400000	0.841639
0.410000	0.802489
0.420000	0.761028
0.430000	0.717435
0.440000	0.671898
0.450000	0.624619
0.460000	0.575808
0.470000	0.525686
0.480000	0.474483
0.490000	0.422439
0.500000	0.369800
0.510000	0.316821
0.520000	0.263761
0.530000	0.210888
0.540000	0.158472
0.550000	0.106787
0.560000	0.056111
0.570000	0.006721
0.580000	-0.041103
0.590000	-0.087083
0.600000	-0.130945
0.610000	-0.172415
0.620000	-0.211226
0.630000	-0.247119
0.640000	-0.279842
0.650000	-0.309150
0.660000	-0.334815
0.670000	-0.356618
0.680000	-0.374356
0.690000	-0.387845
0.700000	-0.396919
0.710000	-0.401432
0.720000	-0.401264
0.730000	-0.396319
0.740000	-0.386529
0.750000	-0.371859
0.760000	-0.352305
0.770000	-0.327898
0.780000	-0.298708
0.790000	-0.264848
0.800000	-0.226474
0.810000	-0.183787
0.820000	-0.137041
0.830000	-0.086541
0.840000	-0.032651
0.850000	0.024208
0.860000	0.083551
0.870000	0.144824
0.880000	0.207406
0.890000	0.270600
0.900000	0.333630
0.910000	0.395640
0.920000	0.455688
0.930000	0.512742
0.940000	0.565673
0.950000	0.613256
0.960000	0.654164
0.970000	0.686958
0.980000	0.710091
0.990000	0.721896
